name,homepage,scholar_id,citations,h-index,earliest_paper
Karen E. Petrie,https://www.computing.dundee.ac.uk/about/staff/23,pJB7cjoAAAAJ,710.0,11.0,2002.0
Iain Martin,https://www.computing.dundee.ac.uk/about/staff/17,,,,
Craig Douglas Ramsay,https://www.computing.dundee.ac.uk/about/staff/24,,,,
Chris Reed,https://www.computing.dundee.ac.uk/about/staff/25,4uzzI5YAAAAJ,9710.0,44.0,1989.0
Rachel Menzies,https://discovery.dundee.ac.uk/en/persons/rachel-menzies,AP_IlJUAAAAJ,431.0,10.0,2011.0
Emanuele Trucco,https://www.computing.dundee.ac.uk/about/staff/26,AoqaZGkAAAAJ,13362.0,47.0,1985.0
Annalu Waller,https://www.computing.dundee.ac.uk/about/staff/27,x_YEVQoAAAAJ,3419.0,28.0,1989.0
Alison Pease,https://www.computing.dundee.ac.uk/about/staff/22,6g0XkjAAAAAJ,1697.0,24.0,1984.0
Islem Rekik,https://www.computing.dundee.ac.uk/about/staff/150,tb6CVoAAAAAJ,1736.0,22.0,2012.0
Andrew Cobley,https://www.computing.dundee.ac.uk/about/staff/1,,,,
Daniel J. Rough,https://discovery.dundee.ac.uk/en/persons/daniel-rough,RCkETH8AAAAJ,121.0,5.0,2014.0
Michael Crabb,https://discovery.dundee.ac.uk/en/persons/michael-crabb,9FznG1oAAAAJ,265.0,9.0,2012.0
Iain R. Murray,http://staff.computing.dundee.ac.uk/irmurray,,,,
John L. Arnott,http://staff.computing.dundee.ac.uk/jarnott,,,,
Keith Edwards,http://staff.computing.dundee.ac.uk/kedwards/index.html,,,,
Stephen J. McKenna,http://staff.computing.dundee.ac.uk/stephen,7mZPvlYAAAAJ,8777.0,38.0,1992.0
Katarzyna Budzynska,https://www.computing.dundee.ac.uk/about/staff/9,9Wg_NakAAAAJ,1060.0,21.0,2004.0
Steve Parkes,https://www.computing.dundee.ac.uk/about/staff/21,,,,
