name,homepage,scholar_id,citations,h-index
Taejoon Park,http://cai.hanyang.ac.kr/sub2_1.php,ijf6dGMAAAAJ,3412.0,28.0
Mina Rho,http://dna.hanyang.ac.kr/index.php?hCode=members_03_04,,,
Jongwoo Lim,http://cvlab.hanyang.ac.kr/~jwlim,5_uwsGAAAAAJ,14840.0,33.0
Yoonsang Lee,https://sites.google.com/view/cgrlab/people,s_lHZHsAAAAJ,377.0,5.0
Choonhwa Lee,http://dcc.hanyang.ac.kr/members.htm,f11QLY0AAAAJ,7647.0,26.0
Euee S. Jang,http://dmlab.hanyang.ac.kr/professor,nBemrMgAAAAJ,1927.0,24.0
Sooyong Kang,http://dcslab.hanyang.ac.kr/?q=node/2,GzTGTyUAAAAJ,1489.0,18.0
Jinseek Choi,http://mir.hanyang.ac.kr/professor.html,YuKqsMgAAAAJ,724.0,15.0
Youngmoon Lee,https://sites.google.com/umich.edu/youngmoonlee/home,Dvc4avsAAAAJ,326.0,7.0
Minsoo Ryu,http://rtcc.hanyang.ac.kr/rtccw/?page_id=27,,,
Inhwan Lee,http://csl.hanyang.ac.kr,,,
Jaehyuk Cha,http://db.hanyang.ac.kr/doku.php?id=%EC%B0%A8%EC%9E%AC%ED%98%81_%EA%B5%90%EC%88%98%EB%8B%98,wvjewAQAAAAJ,861.0,11.0
Hyungsoo Jung,http://scslab.hanyang.ac.kr/index.php/members,TY1harsAAAAJ,697.0,12.0
Sang-Wook Kim,http://www.agape.hanyang.ac.kr/members/prof,ed2vz_oAAAAJ,4471.0,33.0
Yongsu Park,http://securitylab.hanyang.ac.kr/wiki/index.php/PROFESSOR,,,
Jong-Il Park,https://mr.hanyang.ac.kr/?page_id=96,,,
Taesoo Kwon,http://calab.hanyang.ac.kr/cgi-bin/home.cgi?node=Taesoo,rHOTTI0AAAAJ,892.0,12.0
Yong Suk Choi,http://ai.hanyang.ac.kr/member,7zCHdocAAAAJ,371.0,10.0
Heejin Park,http://isa.hanyang.ac.kr/index.php/members,JNBeyNcAAAAJ,1419.0,19.0
Eul Gyu Im,http://usecurity.hanyang.ac.kr/people/professor,DTq34zQAAAAJ,1754.0,18.0
Ji Won Seo,http://bdsl.hanyang.ac.kr/members/jiwonseo,O1WC6TAAAAAJ,756.0,8.0
Yongjun Park,https://sites.google.com/site/hyucasslab/home/professor,5aYuqTkAAAAJ,1078.0,14.0
Inwhee Joe,http://wm.hanyang.ac.kr/xe/professor,,,
Eunok Paek,http://bislab.hanyang.ac.kr/index.php?mid=Professor,NlXEWLQAAAAJ,1556.0,20.0
Tae Hyun Kim,https://sites.google.com/site/lliger9/home,,,
Kwanguk Kim,http://hci.dothome.co.kr/xe/Professor,,,
