name,homepage,scholar_id,citations,h-index,earliest_paper
Christian Scheffer,https://www.uni-muenster.de/Informatik.AGVahrenhold/personen/christianscheffer.shtml,K1C0Au8AAAAJ,262.0,9.0,2011.0
Benjamin Risse,https://www.uni-muenster.de/Informatik.AGRisse/people/risse.shtml,,,,
Martin Dugas,https://www.medizin.uni-muenster.de/fakultaet/fakultaet/personen-preise/details/?uid=92&L=0,,,,
Stefan Klein,https://www.wi.uni-muenster.de/de/institut/wi,q-tPvv8AAAAJ,5244.0,37.0,1990.0
Lars Linsen,https://www.uni-muenster.de/VISIX/linsen.shtml,3YRfrpsAAAAJ,2403.0,27.0,2000.0
Bernd Hellingrath,https://www.wi.uni-muenster.de/de/institut/logistik/personen/bernd-hellingrath,,,,
Thomas Hupperich,https://www.wi.uni-muenster.de/de/institut/it-security/personen/thomas-hupperich,p5c2P1MAAAAJ,663.0,10.0,2012.0
Sergei Gorlatch,https://www.uni-muenster.de/PVS/personen/gorlatch.html,rS4GcY0AAAAJ,3918.0,32.0,1991.0
Herbert Kuchen,https://www.wi.uni-muenster.de/de/institut/pi/personen/herbert-kuchen,G-JiSw0AAAAJ,2914.0,28.0,1985.0
Jörg Becker,https://www.wi.uni-muenster.de/de/institut/is,VU0qH2MAAAAJ,22992.0,61.0,
Fabian Gieseke,https://www.wi.uni-muenster.de/department/dasc/people/fabian-gieseke,g3ZiieoAAAAJ,1186.0,19.0,2006.0
Jan Vahrenhold,https://www.uni-muenster.de/Informatik.AGVahrenhold/personen/prof.dr.janvahrenhold/index.html,,,,
Christian Beecks,https://www.uni-muenster.de/DMA/team/beecks.shtml,kQcfLnMAAAAJ,1367.0,19.0,2008.0
Angela Schwering,https://www.uni-muenster.de/Geoinformatics/institute/staff/index.php/109/Angela_Schwering,NwGtPmsAAAAJ,1848.0,25.0,2003.0
Xiaoyi Jiang,https://www.uni-muenster.de/PRIA/personen/jiang.shtml,_td9cSEAAAAJ,10369.0,47.0,1988.0
Paula Herber,https://www.uni-muenster.de/EmbSys/team/herber/index.shtml,8dxJkMAAAAAJ,468.0,12.0,2008.0
Markus Müller-Olm,https://www.uni-muenster.de/Informatik.AGMueller-Olm/people/mmo,,,,
Christian Kray,https://www.uni-muenster.de/Geoinformatics/en/institute/staff/index.php/118/Christian_Kray,pO7f5IoAAAAJ,4015.0,33.0,1998.0
Heike Trautmann,https://www.wi.uni-muenster.de/de/institut/statistik/personen/heike-trautmann,Y7HCnM8AAAAJ,3757.0,34.0,2004.0
Stephan Meisel,https://www.wi.uni-muenster.de/de/institut/qm-logistik,wZzAcgkAAAAJ,699.0,11.0,2007.0
Marco Thomas,http://ddi.uni-muenster.de/ab/pe,8EYyC1MAAAAJ,4838.0,28.0,1988.0
Gottfried Vossen,https://www.wi.uni-muenster.de/department/dbis,ABYevP4AAAAJ,8548.0,45.0,1982.0
Anne Remke,https://www.uni-muenster.de/Informatik.AGRemke/personen/prof.dr.anneremke/index.html,cLr3y94AAAAJ,846.0,18.0,2005.0
