name,homepage,scholar_id,citations,h-index,earliest_paper
Thomas Serre,https://serre-lab.clps.brown.edu/person/thomas-serre,kZlPW4wAAAAJ,14728.0,42.0,1996.0
Malte Schwarzkopf,http://www.malteschwarzkopf.de,Lf1hSacAAAAJ,2988.0,19.0,2010.0
Andries van Dam,http://cs.brown.edu/~avd,,,,
Amy Greenwald,http://cs.brown.edu/~amygreen,aQCRuYQAAAAJ,4058.0,32.0,1996.0
George Dimitri Konidaris,http://cs.brown.edu/people/gdk,9UERvVEAAAAJ,5826.0,41.0,1950.0
Vasileios P. Kemerlis,https://cs.brown.edu/~vpk,tkb2YWQAAAAJ,3031.0,28.0,2006.0
Sorin Istrail,http://www.brown.edu/Research/Istrail_Lab/sorin.php,,,,
Shriram Krishnamurthi,https://cs.brown.edu/~sk,Cxwj5hEAAAAJ,10592.0,55.0,1994.0
John E. Savage,http://cs.brown.edu/~jes,1lHqK_4AAAAJ,338.0,8.0,2012.0
David H. Laidlaw,http://cs.brown.edu/~dhl,GIle-VwAAAAJ,17097.0,58.0,
Michael L. Littman,http://cs.brown.edu/~mlittman,iRMZ2hoAAAAJ,49852.0,86.0,1988.0
Maurice Herlihy,http://cs.brown.edu/~mph,Ezrt3pkAAAAJ,31523.0,73.0,1979.0
Pedro F. Felzenszwalb,http://cs.brown.edu/~pff,k1hJzF0AAAAJ,34125.0,30.0,1998.0
Rodrigo C. Fonseca,http://cs.brown.edu/~rfonseca,VuvKPiQAAAAJ,10061.0,43.0,1993.0
Jeff Huang,http://jeffhuang.com,o8oJ6s4AAAAJ,3523.0,29.0,2005.0
Stan Zdonik,http://cs.brown.edu/~sbz,k3YaoIEAAAAJ,32073.0,81.0,1977.0
Roberto Tamassia,http://cs.brown.edu/~rt,eEYPTKUAAAAJ,24439.0,70.0,1983.0
Franco P. Preparata,http://cs.brown.edu/~franco,i6uX5zUAAAAJ,379.0,9.0,1987.0
Chen Sun,https://chensun.me,vQa7heEAAAAJ,12479.0,34.0,2009.0
James Tompkin,http://www.jamestompkin.com,Ex3pgLAAAAAJ,2042.0,25.0,2006.0
Theophilus A. Benson,https://users.cs.duke.edu/~tbenson,55B-xqUAAAAJ,6931.0,30.0,2008.0
Sherief Reda,https://scale.engin.brown.edu/pages/sreda.html,p69MQp4AAAAJ,4564.0,38.0,2001.0
John F. Hughes,http://cs.brown.edu/~jfh,EEG6tPMAAAAJ,25390.0,50.0,1961.0
Seny Kamara,https://cs.brown.edu/~seny,TY9L1ecAAAAJ,10958.0,32.0,2001.0
Thomas W. Doeppner Jr.,https://cs.brown.edu/~twd,,,,
Srinath Sridhar,https://cs.brown.edu/people/ssrinath,qIvZT74AAAAJ,3281.0,16.0,2011.0
Ritambhara Singh,https://ritambharasingh.com,V6lRMxoAAAAJ,1995.0,14.0,2014.0
Carsten Eickhoff,https://brown.edu/Research/AI/people/carsten.html,QQi1_rAAAAAJ,2728.0,24.0,2009.0
Eugene Charniak,https://cs.brown.edu/~ec,_XHudx4AAAAJ,24624.0,66.0,1968.0
Steven P. Reiss,http://cs.brown.edu/~spr,fn3HR4YAAAAJ,19671.0,56.0,1972.0
Eli Upfal,https://cs.brown.edu/people/eli,O_7MVDIAAAAJ,18405.0,59.0,1981.0
Philip N. Klein,http://cs.brown.edu/~pnk,gVUD47sAAAAJ,10054.0,51.0,1984.0
Daniel Ritchie,https://dritchie.github.io,0RiypNsAAAAJ,2964.0,20.0,2009.0
Stephen H. Bach,https://cs.brown.edu/people/sbach,hs6pGXoAAAAJ,3053.0,17.0,2008.0
Ellie Pavlick,https://cs.brown.edu/people/epavlick/index.html,sFyrSa8AAAAJ,3924.0,25.0,2014.0
Ugur Çetintemel,https://cs.brown.edu/people/faculty/ugur,,,,
Stefanie Tellex,http://cs.brown.edu/~stefie10,Pd8-ju0AAAAJ,5504.0,37.0,2001.0
Anna Lysyanskaya,https://cs.brown.edu/people/anna,woqUivYAAAAJ,12091.0,43.0,1998.0
