name,homepage,scholar_id,citations,h-index
Torsten Eymann,https://www.bwl7.uni-bayreuth.de/de/team/eymann_torsten/index.php,_3iS3B8AAAAJ,2709.0,25.0
Maximilian Roeglinger,https://www.wpm.uni-bayreuth.de/de/team/maximilian-roeglinger/index.php,id4NBw4AAAAJ,4925.0,31.0
Michael Guthe,https://www.ai5.uni-bayreuth.de/de/team/michael-guthe/index.php,5YA9KjYAAAAJ,1235.0,20.0
Wim Martens,https://www.theoinf.uni-bayreuth.de/en/team/martens_wim/index.php,QgkOSXoAAAAJ,2538.0,32.0
Dominik Henrich,https://www.ai3.uni-bayreuth.de/de/team/dominik-henrich,w8FwIsEAAAAJ,,
Nils Urbach,https://www.sim.uni-bayreuth.de/de/team/nils-urbach/index.php,H7D9_EkAAAAJ,7162.0,35.0
Thomas Buchmann,http://www.ai1.uni-bayreuth.de/en/team/Buchmann_Thomas/index.php,LU0mmcUAAAAJ,680.0,15.0
Bernhard Westfechtel,http://www.ai1.uni-bayreuth.de/en/team/Westfechtel_Bernhard/index.php,8eJ_bFcAAAAJ,4023.0,30.0
Matthias Korch,http://www.ai2.uni-bayreuth.de/de/team/Korch_Matthias/index.php,NOSCHOLARPAGE,,
Christian Knauer,https://www.ai6.uni-bayreuth.de/de/mitarbeiter/christian-knauer.html,On60m2AAAAAJ,2282.0,26.0
Stefan Jablonski,https://www.ai4.uni-bayreuth.de/en/team/Stefan-Jablonski/index.php,NOSCHOLARPAGE,,
Thomas Rauber,http://www.ai2.uni-bayreuth.de/de/team/Rauber_Thomas,NOSCHOLARPAGE,,
Jörg Müller,https://www.ai8.uni-bayreuth.de/de/team/Joerg-Mueller/index.php,RdvLNP4AAAAJ,4506.0,34.0
