name,homepage,scholar_id,citations,h-index,earliest_paper
Daryl H. Hepting,http://www.cs.uregina.ca/People/Profiles/DarylHepting.html,iXVS1CAAAAAJ,782.0,12.0,1991.0
Bo-Ting Yang,http://www.cs.uregina.ca/People/Profiles/BotingYang.html,,,,
Orland Hoeber,http://www.cs.uregina.ca/People/Profiles/OrlandHoeber.html,ffjlLQUAAAAJ,1714.0,22.0,2004.0
Malek Mouhoub,http://www.cs.uregina.ca/People/Profiles/MalekMouhoub.html,,,,
Samira Sadaoui,http://www.cs.uregina.ca/People/Profiles/SamiraSadaouiMouhoub.html,,,,
Sandra Zilles,http://www.cs.uregina.ca/People/Profiles/SandraZilles.html,gkUY7QMAAAAJ,1379.0,18.0,1999.0
Cory J. Butz,http://www.cs.uregina.ca/People/Profiles/CoryButz.html,GTO6L98AAAAJ,2379.0,22.0,1997.0
Lisa Fan,http://www.cs.uregina.ca/People/Profiles/LisaFan.html,,,,
Jingtao Yao,http://www.cs.uregina.ca/People/Profiles/JingTaoYao.html,WHpY3ogAAAAJ,6147.0,42.0,1985.0
David Gerhard,http://www.cs.uregina.ca/People/Profiles/DavidGerhard.html,qoQvWb8AAAAJ,910.0,14.0,1996.0
Robert J. Hilderman,http://www.cs.uregina.ca/People/Profiles/RobertHilderman.html,,,,
Habib Louafi,http://www.cs.uregina.ca/People/Profiles/HabibLouafi.html,_w0LeEUAAAAJ,104.0,6.0,2006.0
Xue Dong Yang,http://www.cs.uregina.ca/People/Profiles/XueDongYang.html,,,,
Howard J. Hamilton,http://www.cs.uregina.ca/People/Profiles/HowardHamilton.html,S8kGH3cAAAAJ,6453.0,33.0,1990.0
Y. Y. Yao,http://www.cs.uregina.ca/People/Profiles/YiyuYao.html,_aL0fcQAAAAJ,34339.0,93.0,1987.0
