name,homepage,scholar_id,citations,h-index,earliest_paper
Markus Lohrey,https://www.eti.uni-siegen.de/ti/mitarbeiter/lohrey,6EjzYkcAAAAJ,2778.0,29.0,1997.0
Kristof Van Laerhoven,https://www.eti.uni-siegen.de/ubicomp/home/team/kristof.html.en?lang=en,iPI39lEAAAAJ,6182.0,38.0,1995.0
Michael Moeller,https://www.vsa.informatik.uni-siegen.de/en/moeller-michael,sxzdAGUAAAAJ,2358.0,23.0,1985.0
Klaus-Dieter Kuhnert,https://fokos.de/personal/prof-dr-ing-klaus-dieter-kuhnert,,,,
Natasa S. Zivic,https://www.eti.uni-siegen.de/dcs/mitarbeiter/professoren/zivic/?lang=de,A9c1ASAAAAAJ,645.0,14.0,2004.0
Michael G. Wahl,https://www.eti.uni-siegen.de/dis/mitarbeiter/wahl.html?lang=de,,,,
Christoph Ruland,https://www.eti.uni-siegen.de/dcs/mitarbeiter/professoren/ruland/?lang=de,b4M0T4IAAAAJ,1041.0,17.0,1973.0
Roland Wismüller,https://www.bs.informatik.uni-siegen.de/mitarbeiter/wismueller/index_html,,,,
Roman Obermaisser,https://networked-embedded.de/es/index.php/staff.html,py_vtrcAAAAJ,2925.0,28.0,2000.0
Volker Blanz,http://www.grk1564.uni-siegen.de/de/blanz-volker,jYCidWgAAAAJ,16265.0,41.0,1995.0
Andreas Kolb,https://www.cg.informatik.uni-siegen.de/de/kolb-andreas,T_Fwt_oAAAAJ,6036.0,34.0,1991.0
Udo Kelter,http://pi.informatik.uni-siegen.de/kelter,,,,
Madjid Fathi,https://www.eti.uni-siegen.de/ws/mitarbeiter/m_fathi/index.html?lang=de,,,,
