name,homepage,scholar_id,citations,h-index,earliest_paper
Dan Hefetz,http://www.ariel.ac.il/projects/trp/GeneralInformation.asp?numRec=550&numtafrit=1&id_lang=1&d=,oSAkZJoAAAAJ,1004.0,18.0,2003.0
Noam Hazon,http://www.ariel.ac.il/sites/noamh,Bb-VR9sAAAAJ,1292.0,19.0,2005.0
Anat Paskin,http://www.ariel.ac.il/Projects/trp/GeneralInformation.asp?numRec=483&numtafrit=1&id_lang=1&d=,XcyQbAYAAAAJ,663.0,8.0,2007.0
Boaz Ben-Moshe,http://www.ariel.ac.il/sites/bmboaz,EqqHg3MAAAAJ,1402.0,20.0,2000.0
Eran Omri,http://www.ariel.ac.il/Projects/trp/GeneralInformation.asp?numRec=368&numtafrit=1&id_lang=1&d=,UUho8zsAAAAJ,802.0,16.0,2004.0
Elad Aigner-Horev,http://www.elad-horev.org,4-mES5gAAAAJ,262.0,10.0,2006.0
Amit Dvir,https://www.ariel.ac.il/wp/amitd,fYOS6GcAAAAJ,1073.0,15.0,2004.0
Dana Shapira,http://www.ariel.ac.il/Projects/trp/GeneralInformation.asp?numRec=454&numtafrit=1&id_lang=1&d=,xYvlBV0AAAAJ,726.0,16.0,1998.0
Mira Gonen,http://www.ariel.ac.il/Projects/TRP/GeneralInformation.asp?numRec=433&numtafrit=1&id_lang=1&d=,pILEObcAAAAJ,391.0,10.0,2004.0
Amos Azaria,http://www.ariel.ac.il/projects/trp/GeneralInformation.asp?numRec=548&numtafrit=1&id_lang=1&d=,sdfKs_sAAAAJ,1967.0,21.0,2011.0
Ofir Pele,http://www.ariel.ac.il/sites/ofirpele,0J0n7sEAAAAJ,2106.0,14.0,2007.0
Kirill Kogan,https://www.ariel.ac.il/projects/trp/GeneralInformation.asp?numRec=708&numtafrit=1&id_lang=1&d=,F7KKWfgAAAAJ,892.0,19.0,2002.0
Lee-Ad Gottlieb,http://www.cs.nyu.edu/~adi,HV6OPfcAAAAJ,1171.0,18.0,2003.0
Dror Tobi,http://www.ariel.ac.il/Projects/TRP/GeneralInformation.asp?numRec=4,5Df00DoAAAAJ,2098.0,17.0,1996.0
Dan Ophir,http://ariel.academia.edu/DanOphir,,,,
Gabriel Nivasch,http://www.ariel.ac.il/Projects/TRP/GeneralInformation.asp?numRec=365&numtafrit=1&id_lang=1&d=,s11gsQUAAAAJ,494.0,10.0,2003.0
Chen Hajaj,https://www.ariel.ac.il/wp/chen-hajaj,Zy2cIskAAAAJ,325.0,10.0,2012.0
Vadim E. Levit,http://ariel.academia.edu/VadimLevit,iAIwEeAAAAAJ,1620.0,21.0,1984.0
