name,homepage,scholar_id,citations,h-index,earliest_paper
Martin Held,https://www.cosy.sbg.ac.at/~held/held.html,,,,
Manfred Tscheligi,https://hci.sbg.ac.at/person/tscheligi,m-L0IVgAAAAJ,10849.0,49.0,1990.0
Christoph M. Kirsch,http://cs.uni-salzburg.at/~ck,jk3kRKAAAAAJ,3917.0,33.0,1996.0
Ana Sokolova,http://cs.uni-salzburg.at/~anas,TqOx714AAAAJ,1800.0,23.0,1998.0
Nikolaus Augsten,https://dbresearch.uni-salzburg.at/people/augsten,,,,
Wolfgang Pree,http://www.softwareresearch.net/home,,,,
Rade Kutil,https://www.cosy.sbg.ac.at/~rkutil,,,,
Helmut A. Mayer,https://www.cosy.sbg.ac.at/~helmut/helmut.html,,,,
Robert Elsässer,https://algorithms.cosy.sbg.ac.at/group/robert-elsaesser.html,WIY8ymUAAAAJ,1671.0,25.0,1999.0
Stefan Resmerita,http://cs.uni-salzburg.at/~stefan.resmerita,,,,
Sebastian Forster,https://www.cosy.sbg.ac.at/~forster,Ic9r-5sAAAAJ,1333.0,18.0,2002.0
Roland Kwitt,https://rkwitt.github.io,sfGFi6UAAAAJ,3331.0,31.0,2004.0
Elmar Eder,https://www.cosy.sbg.ac.at/~eder/eder.html,,,,
Andreas Naderlinger,http://www.cs.uni-salzburg.at/~andreas.naderlinger,,,,
Andreas Uhl,https://www.cosy.sbg.ac.at/~uhl,,,,
Alexander Meschtscherjakov,https://hci.sbg.ac.at/person/meschtscherjakov,YzdqhHIAAAAJ,2336.0,25.0,2007.0
Helge Hagenauer,https://www.cosy.sbg.ac.at/~hagenau,,,,
