name,homepage,scholar_id,citations,h-index,earliest_paper
Susan M. Üsküdarli,http://www.cmpe.boun.edu.tr/~uskudarli,GlcUjKIAAAAJ,561.0,13.0,1992.0
Arzucan Ozgur,https://www.cmpe.boun.edu.tr/~ozgur,8Kn4-EsAAAAJ,3346.0,27.0,2004.0
Can C. Özturan,https://www.cmpe.boun.edu.tr/~ozturan,--uJKY0AAAAJ,1338.0,22.0,1988.0
Taflan I. Gündem,https://www.cmpe.boun.edu.tr/~gundem,,,,
A. C. Cem Say,https://www.cmpe.boun.edu.tr/~say,rOum2XsAAAAJ,835.0,15.0,1992.0
A. Yurdakul,https://www.cmpe.boun.edu.tr/~yurdakul,6UUbTP4AAAAJ,825.0,14.0,1996.0
Tunga Gungor,https://www.cmpe.boun.edu.tr/~gungort,oymuGoYAAAAJ,2268.0,25.0,1993.0
Tuna Tugcu,http://www.cmpe.boun.edu.tr/~tugcu,aN_VUtQAAAAJ,3088.0,25.0,1994.0
Alper Sen,https://www.cmpe.boun.edu.tr/~sen,yfdctbkAAAAJ,885.0,18.0,2002.0
Emre Ugur,https://www.cmpe.boun.edu.tr/~emre,B1Dy3WMAAAAJ,1935.0,22.0,2006.0
A. Taylan Cemgil,https://www.cmpe.boun.edu.tr/~cemgil,X3ZFZ7AAAAAJ,4759.0,33.0,1995.0
Haluk Bingol,https://www.cmpe.boun.edu.tr/~bingol,NZhnwp4AAAAJ,1101.0,14.0,1987.0
Fatih Alagöz,https://www.cmpe.boun.edu.tr/~alagoz,5Nku4S8AAAAJ,5197.0,30.0,1999.0
H. Levent Akin,https://www.cmpe.boun.edu.tr/~akin,61aKNawAAAAJ,1714.0,21.0,1984.0
Lale Akarun,https://www.cmpe.boun.edu.tr/~akarun/doku.php,MybhMyUAAAAJ,6260.0,39.0,1991.0
Fikret Gürgen,https://www.cmpe.boun.edu.tr/~gurgen,B8EWl8gAAAAJ,2187.0,22.0,1990.0
Cem Ersoy,https://www.cmpe.boun.edu.tr/~ersoy/CemErsoySite/Home.html,I8ojCJYAAAAJ,10750.0,39.0,1990.0
