name,homepage,scholar_id,citations,h-index,earliest_paper
Xiaoming Fu,http://www.net.informatik.uni-goettingen.de/?q=people/prof-dr-xiaoming-fu,Gu7gTTEAAAAJ,8800.0,45.0,1999.0
Stephan Waack,https://user.informatik.uni-goettingen.de/~waack,D3noPisAAAAJ,6323.0,21.0,1981.0
Florentin Wörgötter,http://www.uni-goettingen.de/en/58059.html,,,,
Winfried Kurth,http://www.uni-goettingen.de/de/72781.html,,,,
Alexander S. Ecker,https://alexanderecker.wordpress.com,VgYU_m8AAAAJ,12651.0,29.0,2006.0
Jens Grabowski,https://www.swe.informatik.uni-goettingen.de/staff/jens-grabowski,59rolV4AAAAJ,3875.0,29.0,1989.0
Philipp Wieder,https://www.gwdg.de/about-us/organization/departments/escience,kMwa9AsAAAAJ,2421.0,26.0,2002.0
Florin Manea,http://flmanea.blogspot.com,sNhEpYAAAAAJ,1455.0,21.0,2002.0
Wolfgang May,https://user.informatik.uni-goettingen.de/~may,,,,
Carsten Damm,https://www.uni-goettingen.de/de/188497.html,,,,
Ramin Yahyapour,https://www.gwdg.de/about-us/organization/management/ramin-yahyapour,BUIdFgEAAAAJ,5412.0,37.0,1998.0
Kerstin Maike Strecker,https://www.uni-goettingen.de/de/team/611719.html,,,,
Marcus Baum,https://www.uni-goettingen.de/en/523550.html,5SVQD3oAAAAJ,2422.0,23.0,2000.0
Caroline Sporleder,https://www.gcdh.de/de/prof-dr-caroline-sporleder,,,,
Dieter Hogrefe,https://www.uni-goettingen.de/de/133497.html,BnuGAhcAAAAJ,4259.0,29.0,1986.0
Delphine Christin,https://www.uni-goettingen.de/de/prof.+dr.-ing.+delphine+reinhardt/581924.html,EgijLUMAAAAJ,1879.0,18.0,2009.0
