name,homepage,scholar_id,citations,h-index,earliest_paper
Guoliang He,http://cs.whu.edu.cn/teacherinfo.aspx?id=207,,,,
Xiangyang Jia,http://cs.whu.edu.cn/teacherinfo.aspx?id=201,,,,
Yutao Ma,http://cs.whu.edu.cn/teacherinfo.aspx?id=206,_92TyiIAAAAJ,2023.0,26.0,2003.0
Shi Ying,http://cs.whu.edu.cn/teacherinfo.aspx?id=221,,,,
Yanxiang He,http://cs.whu.edu.cn/teacherinfo.aspx?id=300,M6RsyXMAAAAJ,2602.0,26.0,1989.0
Xiao-Yuan Jing,http://mla.whu.edu.cn,2IInQAgAAAAJ,5067.0,33.0,2003.0
Yuanxiang Li,http://cs.whu.edu.cn/teacherinfo.aspx?id=222,kKt3SNwAAAAJ,115.0,5.0,2014.0
Zhijian Wu,http://cs.whu.edu.cn/teacherinfo.aspx?id=220,,,,
Tieyun Qian,http://cs.whu.edu.cn/teacherinfo.aspx?id=209,,,,
Jicheng Hu,http://cs.whu.edu.cn/teacherinfo.aspx?id=219,,,,
Chenliang Li,http://www.lichenliang.net/index.html,p4RNNCQAAAAJ,3435.0,25.0,2009.0
Jifeng Xuan,http://jifeng-xuan.com,G3xi5UkAAAAJ,2680.0,24.0,2008.0
Qian Wang,http://nisplab.whu.edu.cn/people.html,CD7ybnAAAAAJ,19645.0,48.0,2005.0
Zhenzhong Chen,http://iip.whu.edu.cn/~zzchen,w_BcpK8AAAAJ,5059.0,35.0,2003.0
Rong Peng,http://www.pengronggroup.org,,,,
Xiaoyuan Xie,http://xiaoyuanxie.github.io,VlHMPKoAAAAJ,1789.0,19.0,2005.0
Lixin Ding,http://cs.whu.edu.cn/teacherinfo.aspx?id=218,,,,
Qing'an Li,http://cs.whu.edu.cn/teacherinfo.aspx?id=195,1nFUcMIAAAAJ,540.0,13.0,2010.0
Bing Li,http://cs.whu.edu.cn/teacherinfo.aspx?id=354,TgB8tuYAAAAJ,41209.0,91.0,
Peng Liang,http://cs.whu.edu.cn/teacherinfo.aspx?id=217,76CoujsAAAAJ,3200.0,30.0,2001.0
