name,homepage,scholar_id,citations,h-index
Terence Soule,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/terry-soule,6W8ZAs4AAAAJ,2529.0,21.0
Robert B. Heckendorn,http://marvin.cs.uidaho.edu/~heckendo,Hd0x1I4AAAAJ,1975.0,20.0
Axel W. Krings,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/axel-krings,,,
Min Xian,http://www.uidaho.edu/engr/our-people/min-xian,,,
Hasan Jamil,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/hasan-jamil,3x4_nY4AAAAJ,1509.0,20.0
Daniel Conte de Leon,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/conte-de-leon,aLH-yuoAAAAJ,532.0,11.0
Xiaogang Ma,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/xiaogang-ma,o4v-pvoAAAAJ,1080.0,20.0
Michael Haney,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/michael-haney,yFPTY8wAAAAJ,405.0,10.0
Clinton Jeffery,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/clint-jeffery,TD7nTLUAAAAJ,1076.0,14.0
Frederick T. Sheldon,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/rick-sheldon,Ekuq7lAAAAAJ,2060.0,25.0
Robert E. Hiromoto,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/robert-hiromoto,,,
Robert Rinker,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/robert-rinker,,,
Jim Alves-Foss,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/jim-alves-foss,dOaERUAAAAAJ,2531.0,25.0
