name,homepage,scholar_id,citations,h-index,earliest_paper
Charles Anderson,http://www.cs.colostate.edu/~anderson,,,,
Sanjay Rajopadhye,http://www.cs.colostate.edu/~svr,fYOdJ-oAAAAJ,3872.0,33.0,1983.0
Shrideep Pallickara,http://www.cs.colostate.edu/~shrideep,yjFpPkYAAAAJ,4053.0,34.0,
Bruce A. Draper,http://www.cs.colostate.edu/~draper,jTiRFi8AAAAJ,11998.0,46.0,1986.0
Christos Papadopoulos,http://www.cs.colostate.edu/~christos,TsVU8EcAAAAJ,8212.0,34.0,
Darrell Whitley,http://www.cs.colostate.edu/~whitley,,,,
Hamid Reza Chitsaz,http://chitsazlab.org/chitsaz,QgHaeiUAAAAJ,2486.0,19.0,
A. P. Willem Böhm,http://www.cs.colostate.edu/~bohm,FvycB6AAAAAJ,2148.0,22.0,1977.0
James M. Bieman,http://www.cs.colostate.edu/~bieman,PbQ8dzsAAAAJ,13390.0,43.0,1983.0
Chris Wilcox,http://www.cs.colostate.edu/~wilcox,V-o9ZkIAAAAJ,19378.0,55.0,1964.0
Sudipto Ghosh,http://www.cs.colostate.edu/~ghosh,I5zd7t0AAAAJ,4540.0,34.0,1997.0
Yashwant K. Malaiya,http://www.cs.colostate.edu/~malaiya,y2fSlecAAAAJ,6439.0,44.0,1978.0
Louis-Noël Pouchet,https://www.cs.colostate.edu/~pouchet,TCppIZYAAAAJ,4994.0,35.0,2004.0
Ross M. McConnell,http://www.cs.colostate.edu/~rmm,JXsWja0AAAAJ,3845.0,28.0,1983.0
Indrajit Ray,http://www.cs.colostate.edu/~indrajit,blFs68UAAAAJ,6958.0,37.0,1966.0
J. Ross Beveridge,http://www.cs.colostate.edu/~ross,pAI5S50AAAAJ,10737.0,44.0,1989.0
Sangmi Lee Pallickara,http://www.cs.colostate.edu/~sangmi,3_rdKBsAAAAJ,1150.0,21.0,2002.0
Asa Ben-Hur,http://www.cs.colostate.edu/~asa,I1fl4oAAAAAJ,12898.0,43.0,1996.0
Indrakshi Ray,http://www.cs.colostate.edu/~iray,MCEERagAAAAJ,6139.0,39.0,1983.0
