name,homepage,scholar_id,citations,h-index,earliest_paper
Atul Ingle,https://www.AtulIngle.com/,jVYxUqEAAAAJ,216.0,9.0,2011.0
Wu-chi Feng,http://web.cecs.pdx.edu/~wuchi,,,,
Wu-chang Feng,https://www.pdx.edu/profile/meet-professor-wu-chang-feng,,,,
Warren Harrison,https://www.pdx.edu/computer-science/warren-harrison,IqqDQZsAAAAJ,1622.0,19.0,1970.0
Jingke Li,https://www.pdx.edu/computer-science/jingke-li,,,,
Fang Song,https://fangsong.info,A6C3geAAAAAJ,816.0,13.0,2008.0
Jonathan Walpole,http://web.cecs.pdx.edu/~walpole,,,,
Bryant W. York,http://web.cecs.pdx.edu/~york,,,,
Suresh Singh,http://web.cecs.pdx.edu/~singh,,,,
Fei Xie,http://web.cecs.pdx.edu/~xie,ln3fTN0AAAAJ,1269.0,21.0,2001.0
Melanie Mitchell,http://web.cecs.pdx.edu/~mm,,,,
Mark P. Jones,http://web.cecs.pdx.edu/~mpj,txPcjIsAAAAJ,5171.0,33.0,1991.0
James Hook,http://web.cecs.pdx.edu/~hook,dBE0MEkAAAAJ,932.0,16.0,1984.0
Feng Liu,http://web.cecs.pdx.edu/~fliu,uiqXutMAAAAJ,6651.0,38.0,2002.0
Andrew P. Tolmach,http://web.cecs.pdx.edu/~black,,,,
Sergio Antoy,http://web.cecs.pdx.edu/~antoy,xJHYjG4AAAAJ,2707.0,23.0,1983.0
Charles Wright,http://web.cecs.pdx.edu/%7Ecvwright,,,,
Karen L. Karavanic,http://web.cecs.pdx.edu/~karavan,,,,
Nirupama Bulusu,http://web.cecs.pdx.edu/~nbulusu,xpyAqbUAAAAJ,10863.0,40.0,2000.0
