name,homepage,scholar_id,citations,h-index,earliest_paper
Sherif El-Kassas,https://www.aucegypt.edu/fac/sherifel-kassas,,,,
Ahmed Rafea,https://www.aucegypt.edu/fac/ahmedrafea,szDaQLYAAAAJ,2721.0,26.0,1989.0
Cherif Salama,https://www.aucegypt.edu/fac/cherif,YmiuZcEAAAAJ,350.0,9.0,2006.0
Tamer A. ElBatt,https://www.aucegypt.edu/fac/tamerel-batt,5w0QmjUAAAAJ,4535.0,25.0,1996.0
Sherif G. Aly,https://www.aucegypt.edu/fac/sherifaly,L-4bT2AAAAAJ,181.0,8.0,2000.0
Amr Goneid,https://www.aucegypt.edu/fac/amrgoneid,,,,
Awad H. Khalil,https://www.aucegypt.edu/fac/awadkhalil,jtatHAkAAAAJ,4971.0,38.0,
Mohamed N. Moustafa,https://www.aucegypt.edu/fac/mohamedmoustafa,QGdReUEAAAAJ,1173.0,16.0,1968.0
Amr El-Kadi,https://www.aucegypt.edu/fac/amrel-kadi,,,,
