name,homepage,scholar_id,citations,h-index,earliest_paper
Andreas Nüchter,http://www7.informatik.uni-wuerzburg.de/mitarbeiter/nuechter,0KilZDkAAAAJ,9621.0,47.0,2001.0
Andreas Hotho,http://www.dmir.uni-wuerzburg.de/staff/hotho,eWTzXFAAAAAJ,15737.0,55.0,1999.0
Tobias Hossfeld,http://www.comnet.informatik.uni-wuerzburg.de/team/mitarbeiter/hossfeld,AdGp9e0AAAAJ,11115.0,47.0,2004.0
Alexander Wolff,http://www1.informatik.uni-wuerzburg.de/mitarbeiterinnen/wolff-alexander,7XqwgZoAAAAJ,3122.0,30.0,1992.0
Radu Timofte,https://www.informatik.uni-wuerzburg.de/computervision,u3MwH5kAAAAJ,21569.0,65.0,2006.0
Reiner Kolla,https://www.informatik.uni-wuerzburg.de/lehrstuehleprofessuren/info5/mitarbeiter/kolla-reiner,,,,
Birgit Endrass,http://hci.uni-wuerzburg.de/people/birgit,x6LNQoAAAAAJ,1244.0,22.0,2006.0
Martin Hennecke,https://www.informatik.uni-wuerzburg.de/lehrstuehleprofessuren/professur-fuer-didaktik-der-informatik/team/hennecke,,,,
Ingo Scholtes,https://www.informatik.uni-wuerzburg.de/ml4nets/team/prof-dr-ingo-scholtes,pouriVsAAAAJ,2045.0,19.0,2005.0
Sebastian von Mammen,http://hci.uni-wuerzburg.de/people/sebastian-von-mammen,Rni2mdIAAAAJ,832.0,15.0,2002.0
Sergio Montenegro,http://www8.informatik.uni-wuerzburg.de/mitarbeiter/montenegro,,,,
Marc Erich Latoschik,http://hci.uni-wuerzburg.de/people/marc,AbyxansAAAAJ,3519.0,30.0,1997.0
Dietmar Seipel,http://www1.informatik.uni-wuerzburg.de/mitarbeiterinnen/seipel-dietmar,,,,
Jean-Luc Lugrin,https://www.hci.uni-wuerzburg.de/people/jeanluc,V3FLc9IAAAAJ,1695.0,24.0,2002.0
Samuel Kounev,https://se.informatik.uni-wuerzburg.de/software-engineering-group/staff/samuel-kounev,1iN71-YAAAAJ,6975.0,44.0,1999.0
Alexandra Dmitrienko,https://se.informatik.uni-wuerzburg.de/secure-software-systems-group/staff0/alexandra-dmitrienko,CrDmeeIAAAAJ,5142.0,26.0,2009.0
Klaus Schilling,http://www7.informatik.uni-wuerzburg.de/mitarbeiter/schilling,,,,
Christian Glaßer,http://www1.informatik.uni-wuerzburg.de/mitarbeiterinnen/glasser-christian,,,,
Frank Puppe,http://www.is.informatik.uni-wuerzburg.de/staff/puppe-frank,RU1WQtAAAAAJ,5627.0,37.0,1983.0
