name,homepage,scholar_id,citations,h-index,earliest_paper
Kun He,http://faculty.hust.edu.cn/hekun/en/index.htm,YTQnGJsAAAAJ,2322.0,25.0,2011.0
Yuchong Hu,http://yuchonghu.com,JeYz1SUAAAAJ,1889.0,21.0,2011.0
Yu Hua,https://csyhua.github.io,jjvTZT8AAAAJ,2898.0,28.0,2011.0
Deqing Zou,http://faculty.hust.edu.cn/zoudeqing/en/index.htm,,,,
Ming Wen,https://justinwm.github.io,ht2MknAAAAAJ,720.0,14.0,2011.0
Changsheng Xie,http://faculty.hust.edu.cn/xiezhangsheng/en/index.htm,,,,
Laurence T. Yang,http://faculty.hust.edu.cn/yangtianruo/en/index.htm,a39Yz5cAAAAJ,29835.0,87.0,2011.0
Wei Wei,http://faculty.hust.edu.cn/weiw/en/index.htm,,,,
Xiaofei Liao,http://faculty.hust.edu.cn/xfliao/en/index.htm,Y7raoWUAAAAJ,3141.0,23.0,2011.0
Fei Wu,http://faculty.hust.edu.cn/wufei1/en/index.htm,W85qaNMAAAAJ,664.0,14.0,2011.0
Ke Zhou,http://faculty.hust.edu.cn/zhouke2/en/index.htm,Vg1nFsgAAAAJ,1122.0,11.0,2011.0
Yu Zhang,http://faculty.hust.edu.cn/ZhangYu/zh_CN/index.htm,,,,
Haikun Liu,http://faculty.hust.edu.cn/liuhaikun/en/index.htm,Ve_J0VMAAAAJ,2069.0,18.0,2011.0
Xuanhua Shi,http://faculty.hust.edu.cn/shixuanhua/en/index.htm,B5dWy88AAAAJ,2484.0,23.0,2011.0
Hanhua Chen,http://faculty.hust.edu.cn/chen/en/index.htm,,,,
Ruixuan Li,http://faculty.hust.edu.cn/rxli/en/index.htm,scAIu2MAAAAJ,2886.0,25.0,2011.0
Fangming Liu,http://faculty.hust.edu.cn/liufangming/en/index.htm,MfjcVE4AAAAJ,5715.0,43.0,2011.0
Hai Jin,http://faculty.hust.edu.cn/jinhai/en/index.htm,o02W0aEAAAAJ,26824.0,75.0,2011.0
Yu Zhang,http://faculty.hust.edu.cn/ZhangYu/zh_CN/index.htm,NOSCHOLARPAGE,,,
Long Zheng,http://faculty.hust.edu.cn/ZhengLong/en/index.htm,,,,
Bolong Zheng,http://faculty.hust.edu.cn/BOLONGZHENG/en/index.htm,kp0baVYAAAAJ,1210.0,20.0,2011.0
Dan Feng,http://faculty.hust.edu.cn/dfeng/en/index.htm,,,,
Xiaojing Ma,http://faculty.hust.edu.cn/maxiaojing/en/index.htm,Fn4BOjUAAAAJ,501.0,11.0,2011.0
Lin Gu,http://faculty.hust.edu.cn/gulin/en/index.htm,VJIV0AQAAAAJ,2000.0,20.0,2011.0
Hong Huang,http://faculty.hust.edu.cn/honghuang/en/index.htm,-3d0B50AAAAJ,322.0,7.0,2011.0
Zhipeng Lü,http://faculty.hust.edu.cn/lzp/en/index.htm,,,,
Tao Guan,http://faculty.hust.edu.cn/guantao1/en/index.htm,gVNLbIQAAAAJ,1732.0,22.0,2011.0
