name,homepage,scholar_id,citations,h-index
James Pustejovsky,http://www.brandeis.edu/facultyguide/person.html?emplid=dbbe2e6922a901a7151b3d83b6618450867207ae,56UT_6IAAAAJ,27208.0,68.0
Chu-Xu Zhang,https://chuxuzhang.github.io,ZbZ0l0oAAAAJ,2037.0,18.0
Hongfu Liu,http://hongfuliu.com,3FqYBw0AAAAJ,2112.0,26.0
Timothy J. Hickey,http://www.cs.brandeis.edu/~tim,APFVA6sAAAAJ,1881.0,20.0
Lotus Goldberg,http://www.brandeis.edu/facultyguide/person.html?emplid=19717dba85e7e7d919456954c1c56642a52e0740,bx2LquQAAAAJ,423.0,6.0
Sophia A. Malamud,http://www.brandeis.edu/facultyguide/person.html?emplid=3910d55813d1ab5d82f569d8e7923afa2ac792f5,JZoHN2UAAAAJ,504.0,9.0
Richard Alterman,http://www.brandeis.edu/facultyguide/person.html?emplid=4a09ce0d1a4b429db8f07e9e0210e5e2e7ab094b,,,
James A. Storer,http://www.cs.brandeis.edu/~storer,v3vdZycAAAAJ,1595.0,18.0
Nianwen Xue,http://www.cs.brandeis.edu/~xuen,KlVbOkMAAAAJ,8744.0,42.0
Pengyu Hong,http://www.cs.brandeis.edu/~hong,pvDa8pcAAAAJ,3219.0,26.0
Jordan Pollack,http://www.cs.brandeis.edu/~pollack,,,
Liuba Shrira,http://www.cs.brandeis.edu/~liuba,tyUShkAAAAAJ,4555.0,26.0
Mitch Cherniack,http://www.cs.brandeis.edu/~mfc,,,
Antonella Di Lillo,http://www.brandeis.edu/facultyguide/person.html?emplid=4b4fcfe64c1c153c08a131c97077c1726072e6c9,,,
Harry G. Mairson,http://www.cs.brandeis.edu/~mairson,,,
Olga Papaemmanouil,http://www.cs.brandeis.edu/~olga/home.html,JaAonb0AAAAJ,2101.0,21.0
