name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Tom Arodz,Virginia Commonwealth University,http://www.people.vcu.edu/~tarodz,UXlsAbwAAAAJ,1768.0,16.0,2002.0
Hong-Sheng Zhou,Virginia Commonwealth University,http://www.people.vcu.edu/~hszhou,PQl5OHMAAAAJ,1722.0,23.0,2003.0
Irfan Ahmed,Virginia Commonwealth University,http://www.people.vcu.edu/~iahmed3,JXrXUC4AAAAJ,1155.0,21.0,2007.0
Milos Manic,Virginia Commonwealth University,http://www.people.vcu.edu/~mmanic,jp-Ye7gAAAAJ,5456.0,38.0,1998.0
Sevag Gharibian,Virginia Commonwealth University,http://www.people.vcu.edu/~sgharibian,k5G1dE0AAAAJ,1166.0,14.0,2008.0
Carol J. Fung,Virginia Commonwealth University,http://www.people.vcu.edu/~cfung,lIYpkGYAAAAJ,1997.0,26.0,2005.0
Bridget T. McInnes,Virginia Commonwealth University,http://www.people.vcu.edu/~btmcinnes,dWRneN0AAAAJ,1611.0,21.0,2003.0
Alberto Cano,Virginia Commonwealth University,http://www.people.vcu.edu/~acano,8f_w4HQAAAAJ,2424.0,26.0,2009.0
Krzysztof J. Cios,Virginia Commonwealth University,http://cioslab.vcu.edu/index.html,hrWVmoAAAAAJ,8425.0,39.0,1977.0
Eyuphan Bulut,Virginia Commonwealth University,http://www.people.vcu.edu/~ebulut,wvvIyOwAAAAJ,2478.0,27.0,2007.0
Tamer Nadeem,Virginia Commonwealth University,https://egr.vcu.edu/directory/tamer.nadeem,0ltdcO4AAAAJ,3651.0,28.0,2000.0
Thang N. Dinh,Virginia Commonwealth University,http://www.people.vcu.edu/~tndinh,M5W9tuUAAAAJ,3119.0,29.0,2009.0
Cang Ye,Virginia Commonwealth University,https://egr.vcu.edu/directory/cangye,,,,
Vojislav Kecman,Virginia Commonwealth University,http://www.people.vcu.edu/~vkecman,,,,
Kostadin Damevski,Virginia Commonwealth University,http://damevski.github.io,3f847ugAAAAJ,1245.0,18.0,2003.0
Lukasz A. Kurgan,Virginia Commonwealth University,http://biomine.cs.vcu.edu,zXw_54AAAAAJ,22774.0,66.0,2000.0
Bartosz Krawczyk,Virginia Commonwealth University,http://computer-science.egr.vcu.edu/faculty/bartosz-krawczyk-ph-d,0GrFcZsAAAAJ,6848.0,34.0,2010.0
Preetam Ghosh,Virginia Commonwealth University,https://egr.vcu.edu/directory/preetamghosh,S30uT7YAAAAJ,2921.0,27.0,2004.0
