name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ramakrishna Upadrasta,IIT Hyderabad,http://www.iith.ac.in/~ramakrishna,3qZCtWYAAAAJ,255.0,7.0,2005.0
Manohar Kaul,IIT Hyderabad,http://www.iith.ac.in/~mkaul,jNroyK4AAAAJ,896.0,13.0,2003.0
Vineeth Balasubramanian,IIT Hyderabad,http://www.iith.ac.in/~vineethnb,7soDcboAAAAJ,3641.0,27.0,2004.0
Maunendra Sankar Desarkar,IIT Hyderabad,http://www.iith.ac.in/~maunendra,W8LJ-tEAAAAJ,589.0,12.0,2004.0
Sathya Peri,IIT Hyderabad,http://www.iith.ac.in/~sathya_p,fUUk1jkAAAAJ,383.0,10.0,2004.0
A. Antony Franklin,IIT Hyderabad,http://www.iith.ac.in/~antony/index.html,,,,
Saurabh Joshi,IIT Hyderabad,http://www.iith.ac.in/~sbjoshi,MvHEGbYAAAAJ,442.0,10.0,2007.0
Bheemarjuna Reddy Tamma,IIT Hyderabad,http://www.iith.ac.in/~tbr,FYHCD2kAAAAJ,1921.0,20.0,2004.0
Maria Francis,IIT Hyderabad,https://sites.google.com/view/maria-francis/home,r5EduDsAAAAJ,31.0,3.0,2014.0
J. Saketha Nath,IIT Hyderabad,http://www.iith.ac.in/~saketha,k70LrvsAAAAJ,546.0,14.0,2006.0
M. V. Panduranga Rao,IIT Hyderabad,https://cse.iith.ac.in/?q=People/Faculty,WXSB53kAAAAJ,124.0,6.0,1995.0
P. K. Srijith,IIT Hyderabad,https://cse.iith.ac.in/?q=People/Faculty,C1YpEWsAAAAJ,377.0,9.0,2012.0
Rakesh Venkat,IIT Hyderabad,https://www.iith.ac.in/~rakeshvenkat,Igl7BusAAAAJ,43.0,4.0,2014.0
C. Krishna Mohan,IIT Hyderabad,http://www.iith.ac.in/~ckm,GvSsuVEAAAAJ,1619.0,23.0,2004.0
Fahad Panolan,IIT Hyderabad,https://iith.ac.in/~fahad,X6MthEgAAAAJ,863.0,13.0,2012.0
Praveen Tammana,IIT Hyderabad,https://www.iith.ac.in/cse/praveent,ZCukcP4AAAAJ,361.0,8.0,2012.0
Rogers Mathew,IIT Hyderabad,https://iith.ac.in/~rogers,,,,
Manish Singh,IIT Hyderabad,https://www.iith.ac.in/~msingh,oCQaozIAAAAJ,12931.0,53.0,
Ch. Sobhan Babu,IIT Hyderabad,https://www.iith.ac.in/~sobhan,UFMtsfkAAAAJ,195.0,7.0,1999.0
Subrahmanyam Kalyanasundaram,IIT Hyderabad,https://www.iith.ac.in/~subruk,,,,
N. R. Aravind,IIT Hyderabad,http://www.iith.ac.in/~aravind,5547vIcAAAAJ,29529.0,40.0,1997.0
Kotaro Kataoka,IIT Hyderabad,http://cse.iith.ac.in/profile/faculty/kotaro,uAuKJY4AAAAJ,398.0,11.0,1974.0
Karteek Sreenivasaiah,IIT Hyderabad,http://www.iith.ac.in/~karteek,,,,
